from_external_ref,from_type,to_external_ref,to_type,edge_type,verified,weight_base
KR:COMPANY:SAMSUNG_ELECTRONICS,org,KR-CITY-SUWON,org,located_in,false,1
KR:COMPANY:SAMSUNG_ELECTRONICS,org,KR-IND-ELECTRONICS,org,in_industry,false,1
KR:COMPANY:SK_HYNIX,org,KR-CITY-ICHEON,org,located_in,false,1
KR:COMPANY:SK_HYNIX,org,KR-IND-SEMICONDUCTOR,org,in_industry,false,1
KR:COMPANY:LG_ENERGY_SOLUTION,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:LG_ENERGY_SOLUTION,org,KR-IND-BATTERY,org,in_industry,false,1
KR:COMPANY:HYUNDAI_MOTOR,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:HYUNDAI_MOTOR,org,KR-IND-MOBILITY,org,in_industry,false,1
KR:COMPANY:KIA,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:KIA,org,KR-IND-MOBILITY,org,in_industry,false,1
KR:COMPANY:NAVER,org,KR-CITY-SEONGNAM,org,located_in,false,1
KR:COMPANY:NAVER,org,KR-IND-PLATFORM,org,in_industry,false,1
KR:COMPANY:KAKAO,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:KAKAO,org,KR-IND-PLATFORM,org,in_industry,false,1
KR:COMPANY:SAMSUNG_SDI,org,KR-CITY-YONGIN,org,located_in,false,1
KR:COMPANY:SAMSUNG_SDI,org,KR-IND-BATTERY,org,in_industry,false,1
KR:COMPANY:LG_CHEM,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:LG_CHEM,org,KR-IND-CHEMICALS,org,in_industry,false,1
KR:COMPANY:LG_ELECTRONICS,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:LG_ELECTRONICS,org,KR-IND-ELECTRONICS,org,in_industry,false,1
KR:COMPANY:POSCO_HOLDINGS,org,KR-CITY-POHANG,org,located_in,false,1
KR:COMPANY:POSCO_HOLDINGS,org,KR-IND-STEEL,org,in_industry,false,1
KR:COMPANY:SAMSUNG_BIOLOGICS,org,KR-CITY-INCHEON,org,located_in,false,1
KR:COMPANY:SAMSUNG_BIOLOGICS,org,KR-IND-BIOTECH,org,in_industry,false,1
KR:COMPANY:CELLTRION,org,KR-CITY-INCHEON,org,located_in,false,1
KR:COMPANY:CELLTRION,org,KR-IND-BIOTECH,org,in_industry,false,1
KR:COMPANY:SAMSUNG_CT,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:SAMSUNG_CT,org,KR-IND-CONSTRUCTION,org,in_industry,false,1
KR:COMPANY:SAMSUNG_LIFE,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:SAMSUNG_LIFE,org,KR-IND-FINANCE,org,in_industry,false,1
KR:COMPANY:SAMSUNG_FIRE,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:SAMSUNG_FIRE,org,KR-IND-FINANCE,org,in_industry,false,1
KR:COMPANY:KB_FINANCIAL,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:KB_FINANCIAL,org,KR-IND-FINANCE,org,in_industry,false,1
KR:COMPANY:SHINHAN_FINANCIAL,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:SHINHAN_FINANCIAL,org,KR-IND-FINANCE,org,in_industry,false,1
KR:COMPANY:HANA_FINANCIAL,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:HANA_FINANCIAL,org,KR-IND-FINANCE,org,in_industry,false,1
KR:COMPANY:WOORI_FINANCIAL,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:WOORI_FINANCIAL,org,KR-IND-FINANCE,org,in_industry,false,1
KR:COMPANY:IBK,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:IBK,org,KR-IND-FINANCE,org,in_industry,false,1
KR:COMPANY:MIRAE_ASSET,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:MIRAE_ASSET,org,KR-IND-FINANCE,org,in_industry,false,1
KR:COMPANY:SAMSUNG_SECURITIES,org,KR-CITY-SEOUL,org,located_in,false,1
KR:COMPANY:SAMSUNG_SECURITIES,org,KR-IND-FINANCE,org,in_industry,false,1
