name,type,country,city,industry,external_ref
"Samsung Electronics,company,KR,Suwon,Electronics,KR:COMPANY:SAMSUNG_ELECTRONICS"
"SK hynix,company,KR,Icheon,Semiconductor,KR:COMPANY:SK_HYNIX"
"LG Energy Solution,company,KR,Seoul,Battery,KR:COMPANY:LG_ENERGY_SOLUTION"
"Hyundai Motor,company,KR,Seoul,Mobility,KR:COMPANY:HYUNDAI_MOTOR"
"Kia,company,KR,Seoul,Mobility,KR:COMPANY:KIA"
"NAVER,company,KR,Seongnam,Platform,KR:COMPANY:NAVER"
"Kakao,company,KR,Seoul,Platform,KR:COMPANY:KAKAO"
"Samsung SDI,company,KR,Yongin,Battery,KR:COMPANY:SAMSUNG_SDI"
"LG Chem,company,KR,Seoul,Chemicals,KR:COMPANY:LG_CHEM"
"LG Electronics,company,KR,Seoul,Electronics,KR:COMPANY:LG_ELECTRONICS"
"POSCO Holdings,company,KR,Pohang,Steel,KR:COMPANY:POSCO_HOLDINGS"
"Samsung Biologics,company,KR,Incheon,Biotech,KR:COMPANY:SAMSUNG_BIOLOGICS"
"Celltrion,company,KR,Incheon,Biotech,KR:COMPANY:CELLTRION"
"Samsung C&T,company,KR,Seoul,Construction,KR:COMPANY:SAMSUNG_CT"
"Samsung Life Insurance,company,KR,Seoul,Finance,KR:COMPANY:SAMSUNG_LIFE"
"Samsung Fire & Marine,company,KR,Seoul,Finance,KR:COMPANY:SAMSUNG_FIRE"
"KB Financial Group,company,KR,Seoul,Finance,KR:COMPANY:KB_FINANCIAL"
"Shinhan Financial Group,company,KR,Seoul,Finance,KR:COMPANY:SHINHAN_FINANCIAL"
"Hana Financial Group,company,KR,Seoul,Finance,KR:COMPANY:HANA_FINANCIAL"
"Woori Financial Group,company,KR,Seoul,Finance,KR:COMPANY:WOORI_FINANCIAL"
"Industrial Bank of Korea,company,KR,Seoul,Finance,KR:COMPANY:IBK"
"Mirae Asset,company,KR,Seoul,Finance,KR:COMPANY:MIRAE_ASSET"
"Samsung Securities,company,KR,Seoul,Finance,KR:COMPANY:SAMSUNG_SECURITIES"
"NH Investment & Securities,company,KR,Seoul,Finance,KR:COMPANY:NH_INVESTMENT_SECURITIES"
"Korea Investment Holdings,company,KR,Seoul,Finance,KR:COMPANY:KOREA_INVESTMENT"
"Korea Electric Power (KEPCO),company,KR,Naju,Energy,KR:COMPANY:KEPCO"
